date,campaign_name,amount,description
2026-09-18,Evaluacion Dental Trujillo,81.50,Pauta digital local Trujillo - lote 0018
2026-09-19,Sonrie Trujillo Septiembre,118.75,Pauta digital local Trujillo - lote 0019
2026-09-20,Evaluacion Dental Trujillo,155.00,Pauta digital local Trujillo - lote 0020
2026-09-21,Sonrie Trujillo Septiembre,192.25,Pauta digital local Trujillo - lote 0021
2026-09-22,Evaluacion Dental Trujillo,229.50,Pauta digital local Trujillo - lote 0022
2026-09-23,Sonrie Trujillo Septiembre,266.75,Pauta digital local Trujillo - lote 0023
2026-09-24,Evaluacion Dental Trujillo,83.00,Pauta digital local Trujillo - lote 0024
2026-09-25,Sonrie Trujillo Septiembre,120.25,Pauta digital local Trujillo - lote 0025
2026-09-26,Evaluacion Dental Trujillo,157.50,Pauta digital local Trujillo - lote 0026
2026-09-27,Sonrie Trujillo Septiembre,194.75,Pauta digital local Trujillo - lote 0027
2026-09-28,Evaluacion Dental Trujillo,231.00,Pauta digital local Trujillo - lote 0028
2026-09-29,Sonrie Trujillo Septiembre,268.25,Pauta digital local Trujillo - lote 0029
2026-09-30,Evaluacion Dental Trujillo,85.50,Pauta digital local Trujillo - lote 0030
2026-09-01,Sonrie Trujillo Septiembre,122.75,Pauta digital local Trujillo - lote 0031
2026-09-02,Evaluacion Dental Trujillo,159.00,Pauta digital local Trujillo - lote 0032
2026-09-03,Sonrie Trujillo Septiembre,196.25,Pauta digital local Trujillo - lote 0033
2026-09-04,Evaluacion Dental Trujillo,233.50,Pauta digital local Trujillo - lote 0034
2026-09-05,Sonrie Trujillo Septiembre,270.75,Pauta digital local Trujillo - lote 0035
2026-09-06,Evaluacion Dental Trujillo,87.00,Pauta digital local Trujillo - lote 0036
2026-09-07,Sonrie Trujillo Septiembre,124.25,Pauta digital local Trujillo - lote 0037
2026-09-08,Evaluacion Dental Trujillo,161.50,Pauta digital local Trujillo - lote 0038
2026-09-09,Sonrie Trujillo Septiembre,198.75,Pauta digital local Trujillo - lote 0039
2026-09-10,Evaluacion Dental Trujillo,235.00,Pauta digital local Trujillo - lote 0040
2026-09-11,Sonrie Trujillo Septiembre,272.25,Pauta digital local Trujillo - lote 0041
2026-09-12,Evaluacion Dental Trujillo,89.50,Pauta digital local Trujillo - lote 0042
2026-09-13,Sonrie Trujillo Septiembre,126.75,Pauta digital local Trujillo - lote 0043
2026-09-14,Evaluacion Dental Trujillo,163.00,Pauta digital local Trujillo - lote 0044
2026-09-15,Sonrie Trujillo Septiembre,200.25,Pauta digital local Trujillo - lote 0045
2026-09-16,Evaluacion Dental Trujillo,237.50,Pauta digital local Trujillo - lote 0046
2026-09-17,Sonrie Trujillo Septiembre,274.75,Pauta digital local Trujillo - lote 0047
2026-09-18,Evaluacion Dental Trujillo,91.00,Pauta digital local Trujillo - lote 0048
2026-09-19,Sonrie Trujillo Septiembre,128.25,Pauta digital local Trujillo - lote 0049
2026-09-20,Evaluacion Dental Trujillo,165.50,Pauta digital local Trujillo - lote 0050
2026-09-21,Sonrie Trujillo Septiembre,202.75,Pauta digital local Trujillo - lote 0051
2026-09-22,Evaluacion Dental Trujillo,239.00,Pauta digital local Trujillo - lote 0052
2026-09-23,Sonrie Trujillo Septiembre,276.25,Pauta digital local Trujillo - lote 0053
2026-09-24,Evaluacion Dental Trujillo,93.50,Pauta digital local Trujillo - lote 0054
2026-09-25,Sonrie Trujillo Septiembre,130.75,Pauta digital local Trujillo - lote 0055
2026-09-26,Evaluacion Dental Trujillo,167.00,Pauta digital local Trujillo - lote 0056
2026-09-27,Sonrie Trujillo Septiembre,204.25,Pauta digital local Trujillo - lote 0057
2026-09-28,Evaluacion Dental Trujillo,241.50,Pauta digital local Trujillo - lote 0058
2026-09-29,Sonrie Trujillo Septiembre,278.75,Pauta digital local Trujillo - lote 0059
2026-09-30,Evaluacion Dental Trujillo,95.00,Pauta digital local Trujillo - lote 0060
2026-09-01,Sonrie Trujillo Septiembre,132.25,Pauta digital local Trujillo - lote 0061
2026-09-02,Evaluacion Dental Trujillo,169.50,Pauta digital local Trujillo - lote 0062
2026-09-03,Sonrie Trujillo Septiembre,206.75,Pauta digital local Trujillo - lote 0063
2026-09-04,Evaluacion Dental Trujillo,243.00,Pauta digital local Trujillo - lote 0064
2026-09-05,Sonrie Trujillo Septiembre,280.25,Pauta digital local Trujillo - lote 0065
2026-09-06,Evaluacion Dental Trujillo,97.50,Pauta digital local Trujillo - lote 0066
2026-09-07,Sonrie Trujillo Septiembre,134.75,Pauta digital local Trujillo - lote 0067
2026-09-08,Evaluacion Dental Trujillo,171.00,Pauta digital local Trujillo - lote 0068
2026-09-09,Sonrie Trujillo Septiembre,208.25,Pauta digital local Trujillo - lote 0069
2026-09-10,Evaluacion Dental Trujillo,245.50,Pauta digital local Trujillo - lote 0070
2026-09-11,Sonrie Trujillo Septiembre,282.75,Pauta digital local Trujillo - lote 0071
2026-09-12,Evaluacion Dental Trujillo,99.00,Pauta digital local Trujillo - lote 0072
2026-09-13,Sonrie Trujillo Septiembre,136.25,Pauta digital local Trujillo - lote 0073
2026-09-14,Evaluacion Dental Trujillo,173.50,Pauta digital local Trujillo - lote 0074
2026-09-15,Sonrie Trujillo Septiembre,210.75,Pauta digital local Trujillo - lote 0075
2026-09-16,Evaluacion Dental Trujillo,247.00,Pauta digital local Trujillo - lote 0076
2026-09-17,Sonrie Trujillo Septiembre,284.25,Pauta digital local Trujillo - lote 0077
2026-09-18,Evaluacion Dental Trujillo,101.50,Pauta digital local Trujillo - lote 0078
2026-09-19,Sonrie Trujillo Septiembre,138.75,Pauta digital local Trujillo - lote 0079
2026-09-20,Evaluacion Dental Trujillo,175.00,Pauta digital local Trujillo - lote 0080
2026-09-21,Sonrie Trujillo Septiembre,212.25,Pauta digital local Trujillo - lote 0081
2026-09-22,Evaluacion Dental Trujillo,249.50,Pauta digital local Trujillo - lote 0082
2026-09-23,Sonrie Trujillo Septiembre,286.75,Pauta digital local Trujillo - lote 0083
2026-09-24,Evaluacion Dental Trujillo,103.00,Pauta digital local Trujillo - lote 0084
2026-09-25,Sonrie Trujillo Septiembre,140.25,Pauta digital local Trujillo - lote 0085
2026-09-26,Evaluacion Dental Trujillo,177.50,Pauta digital local Trujillo - lote 0086
2026-09-27,Sonrie Trujillo Septiembre,214.75,Pauta digital local Trujillo - lote 0087
2026-09-28,Evaluacion Dental Trujillo,251.00,Pauta digital local Trujillo - lote 0088
2026-09-29,Sonrie Trujillo Septiembre,288.25,Pauta digital local Trujillo - lote 0089
2026-09-30,Evaluacion Dental Trujillo,105.50,Pauta digital local Trujillo - lote 0090
2026-09-01,Sonrie Trujillo Septiembre,142.75,Pauta digital local Trujillo - lote 0091
2026-09-02,Evaluacion Dental Trujillo,179.00,Pauta digital local Trujillo - lote 0092
2026-09-03,Sonrie Trujillo Septiembre,216.25,Pauta digital local Trujillo - lote 0093
2026-09-04,Evaluacion Dental Trujillo,253.50,Pauta digital local Trujillo - lote 0094
2026-09-05,Sonrie Trujillo Septiembre,290.75,Pauta digital local Trujillo - lote 0095
2026-09-06,Evaluacion Dental Trujillo,107.00,Pauta digital local Trujillo - lote 0096
2026-09-07,Sonrie Trujillo Septiembre,144.25,Pauta digital local Trujillo - lote 0097
2026-09-08,Evaluacion Dental Trujillo,181.50,Pauta digital local Trujillo - lote 0098
2026-09-09,Sonrie Trujillo Septiembre,218.75,Pauta digital local Trujillo - lote 0099
2026-09-10,Evaluacion Dental Trujillo,255.00,Pauta digital local Trujillo - lote 0100
2026-09-11,Sonrie Trujillo Septiembre,292.25,Pauta digital local Trujillo - lote 0101
2026-09-12,Evaluacion Dental Trujillo,109.50,Pauta digital local Trujillo - lote 0102
2026-09-13,Sonrie Trujillo Septiembre,146.75,Pauta digital local Trujillo - lote 0103
2026-09-14,Evaluacion Dental Trujillo,183.00,Pauta digital local Trujillo - lote 0104
2026-09-15,Sonrie Trujillo Septiembre,220.25,Pauta digital local Trujillo - lote 0105
2026-09-16,Evaluacion Dental Trujillo,257.50,Pauta digital local Trujillo - lote 0106
2026-09-17,Sonrie Trujillo Septiembre,294.75,Pauta digital local Trujillo - lote 0107
2026-09-18,Evaluacion Dental Trujillo,111.00,Pauta digital local Trujillo - lote 0108
2026-09-19,Sonrie Trujillo Septiembre,148.25,Pauta digital local Trujillo - lote 0109
2026-09-20,Evaluacion Dental Trujillo,185.50,Pauta digital local Trujillo - lote 0110
2026-09-21,Sonrie Trujillo Septiembre,222.75,Pauta digital local Trujillo - lote 0111
2026-09-22,Evaluacion Dental Trujillo,259.00,Pauta digital local Trujillo - lote 0112
2026-09-23,Sonrie Trujillo Septiembre,76.25,Pauta digital local Trujillo - lote 0113
2026-09-24,Evaluacion Dental Trujillo,113.50,Pauta digital local Trujillo - lote 0114
2026-09-25,Sonrie Trujillo Septiembre,150.75,Pauta digital local Trujillo - lote 0115
2026-09-26,Evaluacion Dental Trujillo,187.00,Pauta digital local Trujillo - lote 0116
2026-09-27,Sonrie Trujillo Septiembre,224.25,Pauta digital local Trujillo - lote 0117
2026-09-28,Evaluacion Dental Trujillo,261.50,Pauta digital local Trujillo - lote 0118
2026-09-29,Sonrie Trujillo Septiembre,78.75,Pauta digital local Trujillo - lote 0119
2026-09-30,Evaluacion Dental Trujillo,115.00,Pauta digital local Trujillo - lote 0120
2026-09-01,Sonrie Trujillo Septiembre,152.25,Pauta digital local Trujillo - lote 0121
2026-09-02,Evaluacion Dental Trujillo,189.50,Pauta digital local Trujillo - lote 0122
2026-09-03,Sonrie Trujillo Septiembre,226.75,Pauta digital local Trujillo - lote 0123
2026-09-04,Evaluacion Dental Trujillo,263.00,Pauta digital local Trujillo - lote 0124
2026-09-05,Sonrie Trujillo Septiembre,80.25,Pauta digital local Trujillo - lote 0125
2026-09-06,Evaluacion Dental Trujillo,117.50,Pauta digital local Trujillo - lote 0126
2026-09-07,Sonrie Trujillo Septiembre,154.75,Pauta digital local Trujillo - lote 0127
2026-09-08,Evaluacion Dental Trujillo,191.00,Pauta digital local Trujillo - lote 0128
2026-09-09,Sonrie Trujillo Septiembre,228.25,Pauta digital local Trujillo - lote 0129
2026-09-10,Evaluacion Dental Trujillo,265.50,Pauta digital local Trujillo - lote 0130
2026-09-11,Sonrie Trujillo Septiembre,82.75,Pauta digital local Trujillo - lote 0131
2026-09-12,Evaluacion Dental Trujillo,119.00,Pauta digital local Trujillo - lote 0132
2026-09-13,Sonrie Trujillo Septiembre,156.25,Pauta digital local Trujillo - lote 0133
2026-09-14,Evaluacion Dental Trujillo,193.50,Pauta digital local Trujillo - lote 0134
2026-09-15,Sonrie Trujillo Septiembre,230.75,Pauta digital local Trujillo - lote 0135
2026-09-16,Evaluacion Dental Trujillo,267.00,Pauta digital local Trujillo - lote 0136
2026-09-17,Sonrie Trujillo Septiembre,84.25,Pauta digital local Trujillo - lote 0137
2026-09-18,Evaluacion Dental Trujillo,121.50,Pauta digital local Trujillo - lote 0138
2026-09-19,Sonrie Trujillo Septiembre,158.75,Pauta digital local Trujillo - lote 0139
2026-09-20,Evaluacion Dental Trujillo,195.00,Pauta digital local Trujillo - lote 0140
2026-09-21,Sonrie Trujillo Septiembre,232.25,Pauta digital local Trujillo - lote 0141
2026-09-22,Evaluacion Dental Trujillo,269.50,Pauta digital local Trujillo - lote 0142
2026-09-23,Sonrie Trujillo Septiembre,86.75,Pauta digital local Trujillo - lote 0143
2026-09-24,Evaluacion Dental Trujillo,123.00,Pauta digital local Trujillo - lote 0144
2026-09-25,Sonrie Trujillo Septiembre,160.25,Pauta digital local Trujillo - lote 0145
2026-09-26,Evaluacion Dental Trujillo,197.50,Pauta digital local Trujillo - lote 0146
2026-09-27,Sonrie Trujillo Septiembre,234.75,Pauta digital local Trujillo - lote 0147
2026-09-28,Evaluacion Dental Trujillo,271.00,Pauta digital local Trujillo - lote 0148
2026-09-29,Sonrie Trujillo Septiembre,88.25,Pauta digital local Trujillo - lote 0149
2026-09-30,Evaluacion Dental Trujillo,125.50,Pauta digital local Trujillo - lote 0150
2026-09-01,Sonrie Trujillo Septiembre,162.75,Pauta digital local Trujillo - lote 0151
2026-09-02,Evaluacion Dental Trujillo,199.00,Pauta digital local Trujillo - lote 0152
2026-09-03,Sonrie Trujillo Septiembre,236.25,Pauta digital local Trujillo - lote 0153
2026-09-04,Evaluacion Dental Trujillo,273.50,Pauta digital local Trujillo - lote 0154
2026-09-05,Sonrie Trujillo Septiembre,90.75,Pauta digital local Trujillo - lote 0155
2026-09-06,Evaluacion Dental Trujillo,127.00,Pauta digital local Trujillo - lote 0156
2026-09-07,Sonrie Trujillo Septiembre,164.25,Pauta digital local Trujillo - lote 0157
2026-09-08,Evaluacion Dental Trujillo,201.50,Pauta digital local Trujillo - lote 0158
2026-09-09,Sonrie Trujillo Septiembre,238.75,Pauta digital local Trujillo - lote 0159
2026-09-10,Evaluacion Dental Trujillo,275.00,Pauta digital local Trujillo - lote 0160
2026-09-11,Sonrie Trujillo Septiembre,92.25,Pauta digital local Trujillo - lote 0161
2026-09-12,Evaluacion Dental Trujillo,129.50,Pauta digital local Trujillo - lote 0162
2026-09-13,Sonrie Trujillo Septiembre,166.75,Pauta digital local Trujillo - lote 0163
2026-09-14,Evaluacion Dental Trujillo,203.00,Pauta digital local Trujillo - lote 0164
2026-09-15,Sonrie Trujillo Septiembre,240.25,Pauta digital local Trujillo - lote 0165
2026-09-16,Evaluacion Dental Trujillo,277.50,Pauta digital local Trujillo - lote 0166
2026-09-17,Sonrie Trujillo Septiembre,94.75,Pauta digital local Trujillo - lote 0167
2026-09-18,Evaluacion Dental Trujillo,131.00,Pauta digital local Trujillo - lote 0168
2026-09-19,Sonrie Trujillo Septiembre,168.25,Pauta digital local Trujillo - lote 0169
2026-09-20,Evaluacion Dental Trujillo,205.50,Pauta digital local Trujillo - lote 0170
2026-09-21,Sonrie Trujillo Septiembre,242.75,Pauta digital local Trujillo - lote 0171
2026-09-22,Evaluacion Dental Trujillo,279.00,Pauta digital local Trujillo - lote 0172
2026-09-23,Sonrie Trujillo Septiembre,96.25,Pauta digital local Trujillo - lote 0173
2026-09-24,Evaluacion Dental Trujillo,133.50,Pauta digital local Trujillo - lote 0174
2026-09-25,Sonrie Trujillo Septiembre,170.75,Pauta digital local Trujillo - lote 0175
2026-09-26,Evaluacion Dental Trujillo,207.00,Pauta digital local Trujillo - lote 0176
2026-09-27,Sonrie Trujillo Septiembre,244.25,Pauta digital local Trujillo - lote 0177
2026-09-28,Evaluacion Dental Trujillo,281.50,Pauta digital local Trujillo - lote 0178
2026-09-29,Sonrie Trujillo Septiembre,98.75,Pauta digital local Trujillo - lote 0179
2026-09-30,Evaluacion Dental Trujillo,135.00,Pauta digital local Trujillo - lote 0180
2026-09-01,Sonrie Trujillo Septiembre,172.25,Pauta digital local Trujillo - lote 0181
2026-09-02,Evaluacion Dental Trujillo,209.50,Pauta digital local Trujillo - lote 0182
2026-09-03,Sonrie Trujillo Septiembre,246.75,Pauta digital local Trujillo - lote 0183
2026-09-04,Evaluacion Dental Trujillo,283.00,Pauta digital local Trujillo - lote 0184
2026-09-05,Sonrie Trujillo Septiembre,100.25,Pauta digital local Trujillo - lote 0185
2026-09-06,Evaluacion Dental Trujillo,137.50,Pauta digital local Trujillo - lote 0186
2026-09-07,Sonrie Trujillo Septiembre,174.75,Pauta digital local Trujillo - lote 0187
2026-09-08,Evaluacion Dental Trujillo,211.00,Pauta digital local Trujillo - lote 0188
2026-09-09,Sonrie Trujillo Septiembre,248.25,Pauta digital local Trujillo - lote 0189
2026-09-10,Evaluacion Dental Trujillo,285.50,Pauta digital local Trujillo - lote 0190
2026-09-11,Sonrie Trujillo Septiembre,102.75,Pauta digital local Trujillo - lote 0191
2026-09-12,Evaluacion Dental Trujillo,139.00,Pauta digital local Trujillo - lote 0192
2026-09-13,Sonrie Trujillo Septiembre,176.25,Pauta digital local Trujillo - lote 0193
2026-09-14,Evaluacion Dental Trujillo,213.50,Pauta digital local Trujillo - lote 0194
2026-09-15,Sonrie Trujillo Septiembre,250.75,Pauta digital local Trujillo - lote 0195
2026-09-16,Evaluacion Dental Trujillo,287.00,Pauta digital local Trujillo - lote 0196
2026-09-17,Sonrie Trujillo Septiembre,104.25,Pauta digital local Trujillo - lote 0197
2026-09-18,Evaluacion Dental Trujillo,141.50,Pauta digital local Trujillo - lote 0198
2026-09-19,Sonrie Trujillo Septiembre,178.75,Pauta digital local Trujillo - lote 0199
2026-09-20,Evaluacion Dental Trujillo,215.00,Pauta digital local Trujillo - lote 0200
2026-09-21,Sonrie Trujillo Septiembre,252.25,Pauta digital local Trujillo - lote 0201
2026-09-22,Evaluacion Dental Trujillo,289.50,Pauta digital local Trujillo - lote 0202
2026-09-23,Sonrie Trujillo Septiembre,106.75,Pauta digital local Trujillo - lote 0203
2026-09-24,Evaluacion Dental Trujillo,143.00,Pauta digital local Trujillo - lote 0204
2026-09-25,Sonrie Trujillo Septiembre,180.25,Pauta digital local Trujillo - lote 0205
2026-09-26,Evaluacion Dental Trujillo,217.50,Pauta digital local Trujillo - lote 0206
2026-09-27,Sonrie Trujillo Septiembre,254.75,Pauta digital local Trujillo - lote 0207
2026-09-28,Evaluacion Dental Trujillo,291.00,Pauta digital local Trujillo - lote 0208
2026-09-29,Sonrie Trujillo Septiembre,108.25,Pauta digital local Trujillo - lote 0209
2026-09-30,Evaluacion Dental Trujillo,145.50,Pauta digital local Trujillo - lote 0210
2026-09-01,Sonrie Trujillo Septiembre,182.75,Pauta digital local Trujillo - lote 0211
2026-09-02,Evaluacion Dental Trujillo,219.00,Pauta digital local Trujillo - lote 0212
2026-09-03,Sonrie Trujillo Septiembre,256.25,Pauta digital local Trujillo - lote 0213
2026-09-04,Evaluacion Dental Trujillo,293.50,Pauta digital local Trujillo - lote 0214
2026-09-05,Sonrie Trujillo Septiembre,110.75,Pauta digital local Trujillo - lote 0215
2026-09-06,Evaluacion Dental Trujillo,147.00,Pauta digital local Trujillo - lote 0216
2026-09-07,Sonrie Trujillo Septiembre,184.25,Pauta digital local Trujillo - lote 0217
2026-09-08,Evaluacion Dental Trujillo,221.50,Pauta digital local Trujillo - lote 0218
2026-09-09,Sonrie Trujillo Septiembre,258.75,Pauta digital local Trujillo - lote 0219
2026-09-10,Evaluacion Dental Trujillo,75.00,Pauta digital local Trujillo - lote 0220
2026-09-11,Sonrie Trujillo Septiembre,112.25,Pauta digital local Trujillo - lote 0221
2026-09-12,Evaluacion Dental Trujillo,149.50,Pauta digital local Trujillo - lote 0222
2026-09-13,Sonrie Trujillo Septiembre,186.75,Pauta digital local Trujillo - lote 0223
2026-09-14,Evaluacion Dental Trujillo,223.00,Pauta digital local Trujillo - lote 0224
2026-09-15,Sonrie Trujillo Septiembre,260.25,Pauta digital local Trujillo - lote 0225
2026-09-16,Evaluacion Dental Trujillo,77.50,Pauta digital local Trujillo - lote 0226
2026-09-17,Sonrie Trujillo Septiembre,114.75,Pauta digital local Trujillo - lote 0227
2026-09-18,Evaluacion Dental Trujillo,151.00,Pauta digital local Trujillo - lote 0228
2026-09-19,Sonrie Trujillo Septiembre,188.25,Pauta digital local Trujillo - lote 0229
2026-09-20,Evaluacion Dental Trujillo,225.50,Pauta digital local Trujillo - lote 0230
2026-09-21,Sonrie Trujillo Septiembre,262.75,Pauta digital local Trujillo - lote 0231
2026-09-22,Evaluacion Dental Trujillo,79.00,Pauta digital local Trujillo - lote 0232
2026-09-23,Sonrie Trujillo Septiembre,116.25,Pauta digital local Trujillo - lote 0233
2026-09-24,Evaluacion Dental Trujillo,153.50,Pauta digital local Trujillo - lote 0234
2026-09-25,Sonrie Trujillo Septiembre,190.75,Pauta digital local Trujillo - lote 0235
2026-09-26,Evaluacion Dental Trujillo,227.00,Pauta digital local Trujillo - lote 0236
2026-09-27,Sonrie Trujillo Septiembre,264.25,Pauta digital local Trujillo - lote 0237
2026-09-28,Evaluacion Dental Trujillo,81.50,Pauta digital local Trujillo - lote 0238
2026-09-29,Sonrie Trujillo Septiembre,118.75,Pauta digital local Trujillo - lote 0239
2026-09-30,Evaluacion Dental Trujillo,155.00,Pauta digital local Trujillo - lote 0240
2026-09-01,Sonrie Trujillo Septiembre,192.25,Pauta digital local Trujillo - lote 0241
2026-09-02,Evaluacion Dental Trujillo,229.50,Pauta digital local Trujillo - lote 0242
2026-09-03,Sonrie Trujillo Septiembre,266.75,Pauta digital local Trujillo - lote 0243
2026-09-04,Evaluacion Dental Trujillo,83.00,Pauta digital local Trujillo - lote 0244
2026-09-05,Sonrie Trujillo Septiembre,120.25,Pauta digital local Trujillo - lote 0245
2026-09-06,Evaluacion Dental Trujillo,157.50,Pauta digital local Trujillo - lote 0246
2026-09-07,Sonrie Trujillo Septiembre,194.75,Pauta digital local Trujillo - lote 0247
2026-09-08,Evaluacion Dental Trujillo,231.00,Pauta digital local Trujillo - lote 0248
2026-09-09,Sonrie Trujillo Septiembre,268.25,Pauta digital local Trujillo - lote 0249
2026-09-10,Evaluacion Dental Trujillo,85.50,Pauta digital local Trujillo - lote 0250
2026-09-11,Sonrie Trujillo Septiembre,122.75,Pauta digital local Trujillo - lote 0251
2026-09-12,Evaluacion Dental Trujillo,159.00,Pauta digital local Trujillo - lote 0252
2026-09-13,Sonrie Trujillo Septiembre,196.25,Pauta digital local Trujillo - lote 0253
2026-09-14,Evaluacion Dental Trujillo,233.50,Pauta digital local Trujillo - lote 0254
2026-09-15,Sonrie Trujillo Septiembre,270.75,Pauta digital local Trujillo - lote 0255
2026-09-16,Evaluacion Dental Trujillo,87.00,Pauta digital local Trujillo - lote 0256
2026-09-17,Sonrie Trujillo Septiembre,124.25,Pauta digital local Trujillo - lote 0257
2026-09-18,Evaluacion Dental Trujillo,161.50,Pauta digital local Trujillo - lote 0258
2026-09-19,Sonrie Trujillo Septiembre,198.75,Pauta digital local Trujillo - lote 0259
2026-09-20,Evaluacion Dental Trujillo,235.00,Pauta digital local Trujillo - lote 0260
2026-09-21,Sonrie Trujillo Septiembre,272.25,Pauta digital local Trujillo - lote 0261
2026-09-22,Evaluacion Dental Trujillo,89.50,Pauta digital local Trujillo - lote 0262
2026-09-23,Sonrie Trujillo Septiembre,126.75,Pauta digital local Trujillo - lote 0263
2026-09-24,Evaluacion Dental Trujillo,163.00,Pauta digital local Trujillo - lote 0264
2026-09-25,Sonrie Trujillo Septiembre,200.25,Pauta digital local Trujillo - lote 0265
2026-09-26,Evaluacion Dental Trujillo,237.50,Pauta digital local Trujillo - lote 0266
2026-09-27,Sonrie Trujillo Septiembre,274.75,Pauta digital local Trujillo - lote 0267
2026-09-28,Evaluacion Dental Trujillo,91.00,Pauta digital local Trujillo - lote 0268
2026-09-29,Sonrie Trujillo Septiembre,128.25,Pauta digital local Trujillo - lote 0269
2026-09-30,Evaluacion Dental Trujillo,165.50,Pauta digital local Trujillo - lote 0270
2026-09-01,Sonrie Trujillo Septiembre,202.75,Pauta digital local Trujillo - lote 0271
2026-09-02,Evaluacion Dental Trujillo,239.00,Pauta digital local Trujillo - lote 0272
2026-09-03,Sonrie Trujillo Septiembre,276.25,Pauta digital local Trujillo - lote 0273
2026-09-04,Evaluacion Dental Trujillo,93.50,Pauta digital local Trujillo - lote 0274
2026-09-05,Sonrie Trujillo Septiembre,130.75,Pauta digital local Trujillo - lote 0275
2026-09-06,Evaluacion Dental Trujillo,167.00,Pauta digital local Trujillo - lote 0276
2026-09-07,Sonrie Trujillo Septiembre,204.25,Pauta digital local Trujillo - lote 0277
2026-09-08,Evaluacion Dental Trujillo,241.50,Pauta digital local Trujillo - lote 0278
2026-09-09,Sonrie Trujillo Septiembre,278.75,Pauta digital local Trujillo - lote 0279
2026-09-10,Evaluacion Dental Trujillo,95.00,Pauta digital local Trujillo - lote 0280
2026-09-11,Sonrie Trujillo Septiembre,132.25,Pauta digital local Trujillo - lote 0281
2026-09-12,Evaluacion Dental Trujillo,169.50,Pauta digital local Trujillo - lote 0282
2026-09-13,Sonrie Trujillo Septiembre,206.75,Pauta digital local Trujillo - lote 0283
2026-09-14,Evaluacion Dental Trujillo,243.00,Pauta digital local Trujillo - lote 0284
2026-09-15,Sonrie Trujillo Septiembre,280.25,Pauta digital local Trujillo - lote 0285
2026-09-16,Evaluacion Dental Trujillo,97.50,Pauta digital local Trujillo - lote 0286
2026-09-17,Sonrie Trujillo Septiembre,134.75,Pauta digital local Trujillo - lote 0287
2026-09-18,Evaluacion Dental Trujillo,171.00,Pauta digital local Trujillo - lote 0288
2026-09-19,Sonrie Trujillo Septiembre,208.25,Pauta digital local Trujillo - lote 0289
2026-09-20,Evaluacion Dental Trujillo,245.50,Pauta digital local Trujillo - lote 0290
2026-09-21,Sonrie Trujillo Septiembre,282.75,Pauta digital local Trujillo - lote 0291
2026-09-22,Evaluacion Dental Trujillo,99.00,Pauta digital local Trujillo - lote 0292
2026-09-23,Sonrie Trujillo Septiembre,136.25,Pauta digital local Trujillo - lote 0293
2026-09-24,Evaluacion Dental Trujillo,173.50,Pauta digital local Trujillo - lote 0294
2026-09-25,Sonrie Trujillo Septiembre,210.75,Pauta digital local Trujillo - lote 0295
2026-09-26,Evaluacion Dental Trujillo,247.00,Pauta digital local Trujillo - lote 0296
2026-09-27,Sonrie Trujillo Septiembre,284.25,Pauta digital local Trujillo - lote 0297
2026-09-28,Evaluacion Dental Trujillo,101.50,Pauta digital local Trujillo - lote 0298
2026-09-29,Sonrie Trujillo Septiembre,138.75,Pauta digital local Trujillo - lote 0299
2026-09-30,Evaluacion Dental Trujillo,175.00,Pauta digital local Trujillo - lote 0300
